"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"00000";"2110056";"450";"l";"Non";"Non"
2022;"00000";"2110059";"2476.10";"kg";"Non";"Non"
2022;"00000";"2110063";"15.50";"kg";"Non";"Non"
2022;"00000";"2110072";"1.8";"kg";"Non";"Non"
2022;"00000";"2110073";"462";"l";"Non";"Oui"
2022;"00000";"2110077";"40";"l";"Non";"Non"
2022;"00000";"2110082";"0.6";"kg";"Non";"Non"
2022;"00000";"2110083";"9.75";"l";"Oui";"Non"
2022;"00000";"2110084";"13";"l";"Oui";"Non"
2022;"00000";"2110086";"1676";"l";"Non";"Oui"
2022;"00000";"2110090";"27";"l";"Non";"Non"
2022;"00000";"2110092";"3";"kg";"Non";"Non"
2022;"00000";"2110095";"10";"l";"Non";"Non"
2022;"00000";"2110101";"1261.33";"l";"Non";"Non"
2022;"00000";"2110102";"150827.0314";"l";"Non";"Non"
2022;"00000";"2110103";"1.3";"kg";"Non";"Non"
2022;"00000";"2110104";"224";"l";"Non";"Non"
2022;"00000";"2110111";"210";"l";"Non";"Non"
2022;"00000";"2110115";"163";"l";"Non";"Oui"
2022;"00000";"2110141";"141.55";"l";"Non";"Non"
2022;"00000";"2110143";"30";"l";"Non";"Non"
2022;"00000";"2110144";"159";"l";"Non";"Non"
2022;"00000";"2110147";"273.06";"kg";"Non";"Non"
2022;"00000";"2110149";"5418.88";"l";"Oui";"Non"
2022;"00000";"2110150";"2674.02";"l";"Oui";"Non"
2022;"00000";"2110151";"1270";"l";"Non";"Non"
2022;"00000";"2110152";"32";"l";"Non";"Non"
2022;"00000";"2110154";"702";"l";"Non";"Non"
2022;"00000";"2110159";"0.70";"l";"Oui";"Non"
2022;"00000";"2110162";"76";"l";"Non";"Non"
2022;"00000";"2110167";"921.83";"l";"Non";"Non"
2022;"00000";"2110173";"1614.20";"kg";"Non";"Non"
2022;"00000";"2110174";"120";"l";"Oui";"Non"
2022;"00000";"2110178";"15";"l";"Non";"Non"
2022;"00000";"2110179";"0.68";"kg";"Non";"Non"
2022;"00000";"2110180";"430.10";"kg";"Oui";"Non"
2022;"00000";"2110191";"35";"l";"Non";"Non"
2022;"00000";"2110192";"0.3";"kg";"Non";"Non"
2022;"00000";"2110196";"47.31";"kg";"Oui";"Non"
2022;"00000";"2110197";"151.52";"l";"Non";"Oui"
2022;"00000";"2120041";"11055.6898";"l";"Non";"Non"
2022;"00000";"2120048";"877";"l";"Non";"Non"
2022;"00000";"2120051";"310";"l";"Non";"Non"
2022;"00000";"2120057";"35";"l";"Non";"Non"
2022;"00000";"2120066";"40";"l";"Non";"Non"
2022;"00000";"2120067";"36";"kg";"Non";"Non"
2022;"00000";"2120070";"187";"l";"Non";"Non"
2022;"00000";"2120071";"1";"l";"Non";"Non"
2022;"00000";"2120075";"420.05";"l";"Non";"Non"
2022;"00000";"2120081";"326";"l";"Non";"Non"
2022;"00000";"2120087";"80.75";"kg";"Non";"Non"
2022;"00000";"2120089";"580";"l";"Non";"Non"
2022;"00000";"2120092";"55";"l";"Non";"Non"
2022;"00000";"2120096";"62";"kg";"Non";"Non"
2022;"00000";"2120100";"90";"kg";"Non";"Oui"
2022;"00000";"2120117";"305";"l";"Non";"Non"
2022;"00000";"2120120";"96.2";"l";"Non";"Non"
2022;"00000";"2120130";"220.76";"kg";"Non";"Non"
2022;"00000";"2120132";"3660.08";"kg";"Non";"Non"
2022;"00000";"2120143";"6749.00";"l";"Non";"Non"
2022;"00000";"2120149";"10";"kg";"Non";"Oui"
2022;"00000";"2120153";"390";"l";"Non";"Non"
2022;"00000";"2120158";"900";"kg";"Non";"Non"
2022;"00000";"2120159";"87.53";"l";"Non";"Non"
2022;"00000";"2120160";"30";"l";"Non";"Non"
2022;"00000";"2120171";"239";"kg";"Non";"Non"
2022;"00000";"2120174";"158";"l";"Oui";"Non"
2022;"00000";"2120176";"3";"kg";"Non";"Non"
2022;"00000";"2120177";"259";"kg";"Non";"Non"
2022;"00000";"2120179";"288";"kg";"Non";"Non"
2022;"00000";"2120189";"20";"kg";"Non";"Non"
2022;"00000";"2120191";"3";"kg";"Non";"Oui"
2022;"00000";"2120199";"7375";"l";"Non";"Non"
2022;"00000";"2120209";"60";"kg";"Non";"Non"
2022;"00000";"2120219";"50.00";"l";"Non";"Non"
2022;"00000";"2130002";"5";"l";"Non";"Non"
2022;"00000";"2130031";"40";"kg";"Non";"Non"
2022;"00000";"2130049";"1669.49";"l";"Non";"Non"
2022;"00000";"2130059";"51";"l";"Non";"Non"
2022;"00000";"2130061";"85";"l";"Non";"Non"
2022;"00000";"2130063";"94.5";"l";"Non";"Non"
2022;"00000";"2130067";"992.95";"l";"Non";"Non"
2022;"00000";"2130068";"65.1";"l";"Non";"Non"
2022;"00000";"2130069";"144";"l";"Non";"Non"
2022;"00000";"2130075";"20";"kg";"Non";"Non"
2022;"00000";"2130079";"11.0";"l";"Non";"Non"
2022;"00000";"2130083";"89.95";"l";"Non";"Non"
2022;"00000";"2130086";"797";"kg";"Non";"Non"
2022;"00000";"2130088";"500.2";"kg";"Non";"Non"
