annee,amm,substance,cas,quantite_substance,classification,classification_mention,achat_etranger
2022,2090042,pyroxsulame,422556-08-9,1823.78716,Env A,,Oui
2022,2090044,glyphosate,1071-83-6,48.2966,Env A,,Non
2022,2090045,acetamipride,135410-20-7,4.8e-05,Env B,,Non
2022,2090050,cypermethrine,52315-07-8,56701.452802,Env A,,Non
2022,2090052,tribenuron-methyle,101200-48-0,7813.34,Env A,,Oui
2022,2090053,bromoxynil octanoate,1689-99-2,3.93,CMR,Exclusion,Non
2022,2090053,isoxadifen-ethyl,163520-33-0,0.375,Env A,,Non
2022,2090053,tembotrione,335104-84-2,0.75,CMR,,Non
2022,2090054,metsulfuron-methyl,74223-64-6,388.72834,Env A,Substitution,Non
2022,2090054,tribenuron-methyle,101200-48-0,388.72834,Env A,,Non
2022,2090055,6-benzyladenine,1214-39-7,623.5,CMR,,Non
2022,2090056,isoxadifen-ethyl,163520-33-0,2.3925,Env A,,Oui
2022,2090056,tembotrione,335104-84-2,4.785,CMR,,Oui
2022,2090057,metsulfuron-methyl,74223-64-6,1101.32868,Env A,Substitution,Non
2022,2090057,tribenuron-methyle,101200-48-0,2202.65736,Env A,,Non
2022,2090059,pendimethaline,40487-42-1,20.0,Env A,Substitution,Non
2022,2090060,deltamethrine,52918-63-5,0.05,Santé A,,Non
2022,2090060,thiaclopride,111988-49-9,0.5,CMR,Exclusion,Non
2022,2090063,tebuconazole,107534-96-3,1569.805,CMR,,Oui
2022,2090063,trifloxystrobine,141517-21-7,784.9025,Env A,,Oui
2022,2090064,imazamox,114311-32-9,5837.8156,Env A,Substitution,Non
2022,2090065,folpel,133-07-3,1175.9952,CMR,,Non
2022,2090065,valifenalate,283159-90-0,146.9994,CMR,,Non
2022,2090068,mepiquat-chlorure,24307-26-4,13457.8101,Env B,,Oui
2022,2090068,metconazole,125116-23-6,1922.5443,CMR,,Oui
2022,2090069,bromoxynil,1689-84-5,36.425,CMR,Exclusion,Non
2022,2090072,florasulame,145701-23-1,121.6025,Env A,,Non
2022,2090075,oxamyl,23135-22-0,8210.0,Santé A,,Oui
2022,2090077,prosulfocarbe,52888-80-9,6980.0,Env A,,Non
2022,2090079,acide acetique,64-19-7,1.26,Autre,,Non
2022,2090080,sulcotrione,99105-77-8,35930.16,CMR,,Oui
2022,2090090,thiamethoxam,153719-23-4,0.02,Env A,,Non
2022,2090091,thiamethoxam,153719-23-4,39.5,Env A,,Non
2022,2090093,glyphosate,1071-83-6,811875.955455,Env A,,Oui
2022,2090094,thiophanate-methyl,23564-05-8,278.03072,CMR,Exclusion,Non
2022,2090095,ethofumesate,26225-79-6,31018.032,Env A,,Oui
2022,2090095,phenmediphame,13684-63-4,32650.56,Env A,,Oui
2022,2090096,pethoxamide,106700-29-2,9837.06,Env A,,Non
2022,2090099,metazachlore,67129-08-2,5202.5,CMR,,Non
2022,2090100,metazachlore,67129-08-2,4.5,CMR,,Non
2022,2090101,nicosulfuron,111991-09-4,11769.4808,Env A,,Oui
2022,2090103,soufre pour pulverisation (micronise),7704-34-9,10712.0,Autre,,Oui
2022,2090104,penconazole,66246-88-6,15.5,CMR,,Non
2022,2090105,soufre,7704-34-9,476155.895,Autre,,Non
2022,2090106,penconazole,66246-88-6,104.7,CMR,,Non
2022,2090107,abamectine,71751-41-2,0.000106,CMR,,Non
2022,2090107,thiamethoxam,153719-23-4,0.000705,Env A,,Non
2022,2090109,imidaclopride,138261-41-3,0.455,Env A,,Non
2022,2090111,cypermethrine,52315-07-8,69190.47915,Env A,,Non
2022,2090112,dimethenamide-p (dmta-p),163515-14-8,22630.718,Env A,,Non
2022,2090112,metazachlore,67129-08-2,22630.718,CMR,,Non
2022,2090113,dimethenamide-p (dmta-p),163515-14-8,275729.659729,Env A,,Non
2022,2090113,pendimethaline,40487-42-1,324387.834975,Env A,Substitution,Non
2022,2090114,diflufenicanil,83164-33-4,578.412,Env B,,Non
2022,2090114,iodosulfuron-methyl-sodium,144550-36-7,16.067,Env A,,Non
2022,2090115,glyphosate,1071-83-6,257.508,Env A,,Oui
2022,2090116,glyphosate,1071-83-6,264.96,Env A,,Non
2022,2090117,tebuconazole,107534-96-3,87920.584,CMR,,Oui
2022,2090118,flufenacet,142459-58-3,88748.2068,Env A,,Oui
2022,2090118,pendimethaline,40487-42-1,443741.034,Env A,Substitution,Oui
2022,2090119,cuivre du sulfate tribasique,12527-76-3,40635.455762,Env A,Substitution,Non
2022,2090121,cuivre du sulfate de cuivre,8011-63-0,3008.24,Env A,Substitution,Oui
2022,2090123,acide pelargonique,112-05-0,7.468,Autre,,Non
2022,2090123,hydrazide maleique,123-33-1,1.2,Autre,,Non
2022,2090124,acide pelargonique,112-05-0,0.280731,Autre,,Non
2022,2090124,hydrazide maleique,123-33-1,0.044798,Autre,,Non
2022,2090126,cyazofamide,120116-88-3,12835.9145,Env A,,Oui
2022,2090126,phosphonate de disodium,13708-85-5,128359.145,Autre,,Oui
2022,2090127,huile essentielle d'orange douce,8028-48-6,11027.2182,Env A,,Oui
2022,2090130,benthiavalicarbe,177406-68-7,45.5,CMR,,Non
2022,2090130,cuivre du sulfate tribasique,12527-76-3,975.0,Env A,Substitution,Non
2022,2090131,1-methylcyclopropene (1-mcp),3100-04-7,0.001449,Autre,,Non
2022,2090132,cuivre du sulfate tribasique,12527-76-3,179083.918466,Env A,Substitution,Non
2022,2090132,zoxamide,156052-68-5,26869.305096,Env A,,Non
2022,2090133,cuivre de l'hydroxyde de cuivre,20427-59-2,4087.49,Santé A,Substitution,Non
2022,2090134,cuivre de l'hydroxyde de cuivre,20427-59-2,12108.6,Santé A,Substitution,Non
2022,2090135,cuivre de l'hydroxyde de cuivre,20427-59-2,4162.0,Santé A,Substitution,Non
2022,2090136,fluopicolide,239110-15-7,23447.01,Env A,,Oui
2022,2090136,propamocarbe hcl,25606-41-1,234470.1,Autre,,Oui
2022,2090137,cuivre du sulfate de cuivre,8011-63-0,66760.47802,Env A,Substitution,Non
2022,2090146,abamectine,71751-41-2,0.570147,CMR,,Oui
2022,2090146,pyrethrines,8003-34-7,7.615022,Env A,,Oui
2022,2090149,ethephon,16672-87-0,5854.752,Santé A,,Oui
2022,2090153,dicamba,1918-00-9,63429.84,Env B,,Oui
2022,2090153,tritosulfuron,142469-14-5,13214.55,Env A,,Oui
2022,2090157,cyflufenamid,180409-60-3,1379.2445,Env A,,Non
2022,2090158,glyphosate,1071-83-6,244.8,Env A,,Non
2022,2090159,tritosulfuron,142469-14-5,9018.19128,Env A,,Non
2022,2090160,glyphosate,1071-83-6,13113.27,Env A,,Oui
2022,2090161,benthiavalicarbe,177406-68-7,0.35,CMR,,Non
2022,2090161,folpel,133-07-3,10.0,CMR,,Non
2022,2090163,glyphosate,1071-83-6,4749.75,Env A,,Non
2022,2090164,glyphosate,1071-83-6,1589.04,Env A,,Non
2022,2090166,asulame,2302-17-2,9.6,Autre,,Non
2022,2090167,flumioxazine,103361-09-7,2.0,CMR,,Oui
2022,2090168,trichoderma harzianum souche t22,,46.1265,Autre,,Non
2022,2090169,trichoderma harzianum souche t22,,13.064,Autre,,Non
2022,2090170,cuivre de l'hydroxyde de cuivre,20427-59-2,11961.6,Santé A,Substitution,Non
2022,2090173,epoxiconazole,133855-98-8,0.625,CMR,Exclusion,Non
2022,2090173,fenpropimorphe,67564-91-4,2.0,CMR,,Non
2022,2090173,metrafenone,220899-03-6,0.75,Env A,,Non
2022,2090176,diquat,85-00-7,0.000261,Santé A,,Non
2022,2090176,glyphosate,1071-83-6,0.007221,Env A,,Non
2022,2090177,abamectine,71751-41-2,1.1e-05,CMR,,Non
2022,2090177,difenoconazole,119446-68-3,0.000125,Env A,,Non
2022,2090177,thiamethoxam,153719-23-4,7.5e-05,Env A,,Non
2022,2090178,tebuconazole,107534-96-3,0.002,CMR,,Non
2022,2090178,trifloxystrobine,141517-21-7,0.002,Env A,,Non
2022,2090183,hydrazide maleique,123-33-1,8376.0,Autre,,Oui
2022,2090186,prosulfocarbe,52888-80-9,385208.25608,Env A,,Oui
2022,2090188,glyphosate,1071-83-6,173071.8,Env A,,Oui
